review_id,order_id,review_score,review_date
rev_gsnheoq52vtc,ord_ijf3saovsmzx,1,2022-12-23
rev_p7a3q4yb9jl6,ord_rzd9v1hkqpwp,1,2022-08-27
rev_ldcbko9qo4t0,ord_jk0nmrnay9zq,2,2020-10-02
rev_zztymig3zm7e,ord_x66h29jnaj0k,2,2022-10-06
rev_sjxtmuu9oisb,ord_mtkbrve05orh,5,2019-11-02
rev_gxepfudzggag,ord_zpzvmlxvs5f1,5,2020-01-02
rev_er9wclq0oboh,ord_4n4t6x8jak6g,5,2020-05-20
rev_lqlhhlcjeroz,ord_6c7lkkkc8pwh,1,2019-02-14
rev_kuqtmenzq932,ord_olu91dz7zq17,3,2019-11-03
rev_qahnpwkss3g7,ord_3rkjmj18zk3l,1,2020-09-08
rev_7dhye1aw5ql8,ord_j3yspe2a25am,2,2020-09-06
rev_3ushulkxr5q8,ord_4eqrh5xd1g6n,4,2024-08-08
rev_zbkxnyv6ky75,ord_6zyy11b5p83x,5,2022-02-26
rev_5db7xfn0kp35,ord_p70sg33ppb4s,2,2024-04-17
rev_neazs3rtv38x,ord_l70v1y656ycv,2,2022-04-02
rev_wmsbjw8ty5h9,ord_ds3ejmzvamtk,3,2020-03-06
rev_5usjlxm383r6,ord_outwqdm219ty,1,2019-01-26
rev_7tqr4598zwbu,ord_0x6l6pev6nh1,3,2020-01-03
rev_p6inaeqn6aub,ord_wc5oa3r9nzdo,2,2020-12-20
rev_kmklxqx6pcoh,ord_yip8rxa6wxvy,3,2020-01-21
rev_5uj0q5azr8ca,ord_w1g4ftle8gi3,5,2020-11-23
rev_g8advpqkqfi2,ord_x84aytec682i,5,2023-05-21
rev_fqyssbafb538,ord_7dn8npba0ve4,4,2023-11-04
rev_xjhvah1uixji,ord_cyz7y7dxwncs,4,2023-02-14
rev_41fze5vimjq1,ord_i24jmkri5hxy,2,2021-11-12
rev_8nuxhh6caykv,ord_gnev4erp0ipl,4,2024-12-09
rev_59fi7dktsj71,ord_cgoe5gcbe70w,3,2020-07-24
rev_tiby9gipch59,ord_cne1ao8gny7w,4,2019-04-02
rev_jvmwki7dogc8,ord_x1za6g872acd,4,2021-06-07
rev_4axg7i41plxk,ord_npvzihhr3q4t,5,2024-01-05
rev_q971nlt4hjy0,ord_loqluv7mwls9,1,2021-12-29
rev_ozvsb2osxzxo,ord_cltnm8tu6e4k,3,2022-01-07
rev_zcvuf9yw68z6,ord_eprifuq6venj,3,2023-05-20
rev_dd03ydmouxdl,ord_g1hk3hjppd8f,3,2023-10-11
rev_lxl2j0w7amyo,ord_bnmge88359kv,1,2022-10-08
rev_0v64s8mjcu8m,ord_jta270kp94w9,4,2020-02-24
rev_t39f00wu5ie6,ord_os2mgn7r5dcr,1,2024-03-29
rev_y0u4023wazmb,ord_yc4tln7l9yrp,1,2022-11-24
rev_5h2y0ewl1pq3,ord_ql7wpotpvq84,3,2022-04-13
rev_8d3sfbeaw4x2,ord_4xzyli04kv20,4,2023-04-16
rev_foy3ivf1t901,ord_2dqckv9df3iv,1,2019-06-05
rev_8rzkr0k4dzbo,ord_c0nbsbpgeqoi,2,2024-10-08
rev_bbw1y60kkujr,ord_rich3788m3vx,2,2019-05-07
rev_2s7mm1end05c,ord_2qlcgfkvxald,1,2020-01-24
rev_iq8u9jobd65m,ord_6g03fuuw4knf,5,2021-09-06
rev_emoku3uvvvnl,ord_jhglvxqrmoq2,1,2019-01-17
rev_krir524b7nxf,ord_7oj2c5adajx4,5,2024-12-04
rev_kal0yg03e6g5,ord_hl3959v0dtzi,1,2022-05-23
rev_ag4axgcqdg22,ord_ouot0kvenb94,2,2019-09-16
rev_wlpo2w61ptdb,ord_b7kdyi3eur0l,1,2019-03-08
